Geneid,GSM461177,GSM461180
FBgn0053333,0,0
FBgn0051268,0,0
FBgn0051184,39,63
FBgn0038219,0,0
FBgn0051225,0,0
FBti0062533,0,0
FBgn0038756,0,0
FBgn0037276,0,0
FBgn0039870,26,44
FBgn0003165,778,772
FBgn0039463,0,0
FBgn0039719,0,0
FBgn0038760,91,100
FBgn0002781,474,454
FBgn0039311,0,0
FBgn0038034,54,59
FBgn0053970,4,0
FBgn0038332,54,51
FBgn0024957,168,212
FBgn0038017,0,0
FBgn0011999,0,0
FBgn0267671,0,0
FBgn0023212,141,170
FBgn0086057,0,0
FBgn0263400,0,1
FBti0061713,0,0
FBgn0027492,752,753
FBtr0445445_df_nrg,0,0
FBgn0011289,234,245
FBgn0263986,2,0
FBti0019404,0,0
FBgn0015269,144,154
FBgn0038485,0,0
FBgn0265062,0,0
FBti0063270,0,0
FBgn0010399,0,0
FBgn0039369,0,0
FBgn0266750,1,0
FBtr0472817_df_nrg,0,0
FBgn0039054,2,0
FBti0062133,0,0
FBgn0286828,34,44
FBgn0028734,539,562
FBgn0039789,14,32
FBgn0037988,0,0
FBgn0037849,2,0
FBgn0011766,830,701
FBgn0262143,0,0
FBti0062606,0,0
FBgn0267430,0,0
FBti0020308,0,0
FBtr0304424_df_nrg,0,0
FBgn0051510,42,26
FBti0019447,1,3
FBgn0037996,0,0
FBgn0038535,745,778
FBgn0260444,54,88
FBgn0038437,4,6
FBti0063898,0,0
FBgn0038369,96,115
FBgn0038645,0,0
FBti0019461,0,0
FBgn0262904,0,0
FBgn0037570,0,0
FBgn0263047,2,4
FBgn0011785,396,396
FBgn0039092,0,0
FBgn0037705,102,45
FBgn0267806,0,0
FBgn0038454,22,33
FBti0061004,0,0
FBgn0038643,0,0
FBgn0038238,0,0
FBgn0038838,0,0
FBgn0260743,18,28
FBgn0039879,0,0
FBgn0039246,0,0
FBgn0267116,0,0
FBti0061924,0,0
FBgn0039820,0,0
FBgn0067629,8,4
FBgn0017590,0,0
FBgn0039726,32,50
FBgn0260634,295,341
FBgn0037231,0,0
FBgn0037829,0,0
FBti0063714,0,0
FBti0059855,0,0
FBgn0267685,0,0
FBti0061580,1,0
FBgn0284081,0,0
FBgn0037412,0,0
FBgn0037817,0,4
FBgn0051253,0,0
FBgn0262858,0,0
FBgn0267383,0,0
FBgn0039598,0,0
FBgn0287598,0,0
FBgn0004876,158,166
FBgn0012025,0,0
FBgn0039685,0,0
FBgn0039387,0,0
FBgn0004117,1,0
FBti0061722,0,2
FBgn0037811,1,0
FBgn0041102,0,0
FBgn0262514,0,0
FBgn0267216,0,0
FBgn0038354,0,0
FBti0019311,0,1
FBgn0037834,196,258
FBti0063256,0,0
FBgn0003248,0,0
FBtr0304336_df_nrg,0,0
FBgn0000723,269,258
FBgn0051030,0,0
FBtr0309733_df_nrg,0,0
FBgn0038199,0,0
FBgn0037313,166,160
FBtr0304494_df_nrg,0,0
FBgn0037890,70,88
FBgn0039350,18,18
FBgn0037546,0,0
FBgn0015781,32,30
FBgn0053294,6,1
FBgn0267707,0,0
FBgn0051424,0,0
FBgn0002522,0,0
FBgn0037737,26,24
FBgn0037498,0,0
FBgn0051551,4,4
FBgn0051514,3,4
FBti0019380,1,0
FBgn0039215,156,187
FBgn0039597,0,0
FBgn0264901,1,0
FBgn0037943,66,94
FBgn0038478,64,72
FBgn0051382,0,0
FBgn0028684,108,159
FBti0061679,0,0
FBgn0051195,78,161
FBgn0267440,0,1
FBgn0028487,62,56
FBgn0002719,1213,1179
FBti0063748,0,0
FBgn0000279,4,6
FBgn0027841,32,48
FBgn0261479,52,70
FBgn0039696,83,124
FBgn0039827,62,4
FBgn0038331,91,60
FBgn0085313,0,0
FBti0019358,0,0
FBgn0051202,0,2
FBgn0267118,0,0
FBti0061725,0,0
FBgn0039261,125,108
FBgn0037630,5,13
FBgn0266744,0,2
FBgn0267774,0,0
FBgn0267337,0,2
FBgn0051143,0,0
FBgn0037746,67,95
FBgn0038854,144,124
FBgn0267200,0,0
FBgn0037656,10,11
FBti0063367,0,0
FBti0061080,0,0
FBgn0039510,3,2
FBgn0037700,76,86
FBti0020376,0,0
FBgn0038839,0,0
FBtr0304522_df_nrg,0,0
FBti0062102,0,0
FBgn0039670,0,0
FBgn0039872,3,0
FBgn0263023,0,0
FBgn0086052,0,0
FBgn0039599,0,0
FBgn0037466,75,52
FBti0019320,0,2
FBgn0039101,36,27
FBgn0011655,258,205
FBgn0039274,16,14
FBgn0039731,17,12
FBtr0304415_df_nrg,0,0
FBti0019466,0,5
FBgn0039250,131,89
FBgn0015513,444,512
FBgn0017581,3389,3108
FBgn0020249,130,151
FBgn0267651,0,0
FBgn0051139,4,0
FBgn0040600,68,124
FBgn0024329,390,482
FBgn0004842,0,0
FBgn0039465,76,72
FBgn0013343,357,367
FBgn0261679,0,0
FBgn0002940,0,0
FBgn0027873,94,110
FBgn0038197,59,69
FBgn0039346,2,0
FBgn0082958,0,0
FBgn0039147,2,0
FBgn0263449,0,0
FBgn0266372,0,0
FBgn0038952,32,18
FBgn0000139,103,80
FBtr0309656_df_nrg,0,0
FBgn0020238,1518,2236
FBgn0038476,156,254
FBgn0039341,0,0
FBgn0037850,38,59
FBti0062076,0,0
FBgn0039873,2,0
FBgn0037908,0,0
FBgn0263383,0,0
FBgn0037270,706,782
FBgn0038540,0,0
FBgn0267692,0,0
FBgn0038965,42,50
FBgn0039609,0,0
FBgn0039424,0,0
FBgn0003268,261,316
FBgn0260935,34,60
FBgn0026566,54,112
FBgn0266700,1,0
FBgn0262404,0,0
FBgn0037540,8,16
FBgn0039703,0,0
FBgn0039080,0,0
FBgn0039529,0,0
FBgn0044871,32,40
FBgn0039674,78,78
FBgn0051522,91,91
FBgn0283535,468,523
FBgn0023083,148,159
FBgn0037902,10,28
FBgn0051133,4,14
FBgn0037395,0,0
FBgn0265606,0,0
FBgn0012001,0,0
FBgn0039196,0,0
FBgn0004107,18,24
FBti0063150,0,2
FBgn0250823,377,319
FBgn0037812,4,4
FBgn0037950,2,6
FBgn0004197,211,163
FBgn0260231,0,0
FBgn0037512,0,0
FBgn0037714,6,4
FBgn0039237,0,0
RR48301_transposable_element,0,0
FBgn0267652,0,0
FBgn0037844,32,58
FBtr0309655_df_nrg,0,0
FBti0063802,0,0
FBgn0261839,0,0
FBtr0309704_df_nrg,0,0
FBgn0267199,0,0
FBgn0037883,10,14
FBgn0039877,67,78
FBgn0014949,1,0
FBgn0038206,69,83
FBti0059759,0,0
FBgn0039764,8,12
FBgn0038402,0,0
FBgn0039286,0,0
FBgn0038183,36,44
FBti0020295,0,1
FBgn0038412,0,0
FBgn0038806,38,40
FBgn0022943,32,34
FBti0062394,0,1
FBgn0005585,2454,3275
FBtr0472827_df_nrg,0,0
FBgn0040212,83,81
FBgn0053189,0,2
FBgn0040551,0,0
FBgn0064119,0,0
FBgn0261885,1824,1864
FBgn0039494,342,287
FBgn0039591,2,0
FBgn0051228,0,0
FBgn0267770,0,0
FBgn0037955,100,90
FBgn0011701,0,0
FBgn0086253,92,118
FBgn0265161,0,0
FBgn0038498,0,2
FBgn0267819,1,0
FBgn0019940,0,1
FBgn0037985,0,0
FBti0020312,0,0
FBgn0261987,0,2
FBgn0039297,2,0
FBti0019299,0,3
FBgn0038592,0,0
FBgn0063127,0,0
FBtr0309683_df_nrg,0,0
FBgn0038257,2,2
FBgn0263453,0,0
FBti0019283,0,0
FBgn0264841,0,0
FBgn0015240,90,80
FBgn0039436,0,0
FBgn0082923,0,1
FBgn0266233,0,0
FBgn0261261,176,165
FBgn0038505,0,0
FBgn0039109,64,33
FBgn0051580,0,0
FBgn0027563,2,2
FBti0063873,0,0
FBgn0004387,274,280
FBgn0265068,0,2
FBgn0038422,0,0
FBgn0038195,208,230
FBgn0262477,0,0
FBti0060339,0,0
FBgn0039543,49,36
FBgn0020018,28,51
FBgn0002869,0,0
FBgn0267435,6,12
FBgn0012026,0,0
FBgn0014366,94,111
FBgn0037305,42,82
FBgn0037670,6,12
FBgn0038469,0,2
FBgn0037923,3,2
FBgn0037418,0,0
FBgn0264912,0,0
FBgn0037708,6,12
FBgn0038589,0,0
FBgn0040078,120,164
FBgn0266446,2,0
FBgn0038165,0,0
FBti0063928,0,0
FBgn0037668,2,0
FBgn0266717,1236,1190
FBgn0039026,421,387
FBgn0039332,0,0
FBgn0039635,234,288
FBgn0037786,0,0
FBgn0278600,0,0
RR48332_transposable_element,4,4
FBgn0038029,0,0
FBgn0038755,36,24
FBtr0309593_df_nrg,0,0
FBgn0260440,4,2
FBgn0037666,0,0
FBti0059824,0,0
FBgn0038744,0,0
FBgn0267204,0,0
FBgn0038157,0,0
FBgn0026315,139,134
FBgn0003651,0,0
FBgn0043853,6,6
FBti0019396,1,0
FBgn0085391,2,0
FBgn0038170,2,0
FBgn0005649,407,404
FBti0062875,3,0
FBgn0039536,3,0
FBgn0283562,0,0
FBgn0266734,0,0
FBgn0037307,0,0
FBgn0262559,330,329
FBgn0037326,0,0
FBgn0039796,0,0
FBgn0038007,0,0
FBti0020313,0,0
FBgn0037377,53,41
FBti0063296,0,0
FBgn0262420,0,0
FBgn0037743,58,50
FBgn0267702,6,2
FBgn0039431,395,319
FBgn0038475,44,74
FBgn0263404,0,0
FBgn0038132,0,0
FBgn0262424,0,0
FBgn0039264,0,0
FBgn0263117,0,0
FBgn0039240,142,144
FBgn0051002,0,0
FBti0020323,0,0
FBgn0264904,2,0
FBgn0037815,8,22
FBti0061907,0,0
FBgn0265422,0,0
FBti0019405,3,25
FBgn0039804,156,104
FBgn0086134,168,244
FBgn0027570,6,4
FBgn0085309,0,0
FBgn0037933,24,20
FBgn0037299,48,55
FBgn0037912,2,0
FBgn0037279,150,129
FBgn0038145,906,754
FBti0019415,0,0
FBgn0267568,0,1
FBgn0053293,0,0
FBti0063104,0,0
FBgn0266742,0,0
FBgn0038740,2,2
FBgn0267138,2,0
FBgn0001297,1845,1374
FBgn0039821,0,2
FBgn0028968,460,460
FBgn0013767,0,0
FBgn0265163,0,0
FBgn0040582,2,0
FBgn0038390,28,16
FBgn0038847,0,0
FBti0019362,0,0
FBgn0264827,0,0
FBgn0003512,104,130
FBgn0286880,0,0
FBgn0024909,38,22
FBgn0262983,0,2
FBgn0038450,0,0
FBgn0051438,0,0
FBgn0051091,0,0
FBgn0065105,0,0
FBgn0038866,2,4
FBti0019297,0,0
FBti0019431,0,0
FBgn0263484,0,0
FBti0063753,0,0
FBti0020335,0,0
FBgn0038894,0,0
FBgn0039876,25,36
FBgn0022344,46,60
FBgn0038550,0,0
FBgn0266228,0,0
FBti0062544,0,0
FBgn0038366,7,0
FBgn0038989,54,56
FBgn0026441,156,147
FBgn0085305,0,0
FBgn0038980,0,0
FBgn0016119,213,325
FBti0061702,0,0
FBgn0053630,0,0
FBgn0267132,0,0
FBgn0267753,0,0
FBgn0267751,0,0
FBgn0010770,60,68
FBgn0039049,0,0
FBgn0038196,42,58
FBgn0051497,0,0
FBgn0250846,0,0
FBgn0267140,0,0
FBgn0016650,0,0
FBgn0263402,0,0
FBgn0038630,0,0
FBgn0263384,0,0
FBgn0083047,0,0
FBgn0286918,0,0
FBti0061737,0,0
FBgn0037354,58,32
FBgn0038461,57,76
FBgn0039655,4,0
FBgn0000246,18,26
FBgn0026563,0,0
FBgn0051274,0,0
FBgn0038139,0,0
FBgn0051491,0,0
FBgn0039830,1204,1521
FBgn0037848,78,102
FBgn0038870,46,64
FBti0062925,0,0
FBgn0086768,86,109
FBgn0267121,0,0
FBti0061703,2,2
FBti0019365,0,0
FBgn0064126,0,0
FBgn0004110,0,0
FBgn0262023,0,0
FBgn0267564,0,0
FBgn0039403,16,28
FBgn0037516,0,0
FBgn0085346,0,0
FBgn0262823,0,0
FBgn0267123,0,0
FBgn0285925,56,74
FBgn0063649,107,41
FBgn0266733,0,0
FBgn0053099,0,0
FBti0062080,0,0
FBgn0038286,231,233
FBgn0027494,0,0
FBgn0039272,0,0
FBgn0040682,2,2
FBgn0039232,0,0
FBgn0250821,0,4
FBgn0003480,4,9
FBgn0283560,0,0
FBgn0039734,0,2
FBgn0053536,0,0
FBgn0051388,20,8
FBgn0264816,14,20
FBgn0038303,63,87
FBgn0051441,10,14
FBgn0038652,30,24
FBgn0039611,2,2
FBgn0266170,0,0
FBgn0000447,62,110
FBgn0039300,1254,1456
FBgn0263022,0,0
FBgn0039022,9,2
FBgn0039098,52,26
FBgn0039626,85,78
FBgn0010768,52,40
FBgn0039848,6,8
FBti0019296,0,0
FBgn0051526,0,0
FBti0019329,0,0
FBgn0085308,0,0
FBti0061727,0,0
FBti0063889,0,0
FBgn0037602,12,13
FBgn0039690,32,36
FBgn0051516,2,0
FBgn0038073,0,0
FBgn0263579,0,0
FBgn0262982,0,0
FBgn0265418,0,0
FBgn0250831,0,0
FBgn0051495,8,8
FBgn0267710,0,0
FBgn0015402,93,86
FBgn0002773,8,0
FBti0020372,0,0
FBgn0012024,0,0
FBgn0011959,0,0
FBtr0309673_df_nrg,0,0
FBgn0264899,0,0
FBgn0026634,34,44
FBgn0051217,6,8
FBtr0472760_df_nrg,0,0
FBgn0039379,84,118
FBgn0038361,2,0
FBgn0262127,521,408
FBgn0266398,0,0
FBgn0051019,5,0
FBgn0001321,1,0
FBgn0261061,0,0
FBti0019398,0,2
FBti0062069,0,0
FBti0063896,0,0
FBgn0025781,48,36
FBgn0286030,0,0
FBgn0038275,44,31
FBgn0039254,26,36
FBti0019337,0,0
FBgn0038568,0,0
FBgn0039265,68,60
FBgn0038697,0,0
FBgn0263738,18,34
FBgn0037680,44,66
FBgn0051014,0,0
FBgn0262024,0,0
FBgn0243511,198,192
FBti0063885,0,0
FBgn0085325,0,0
FBgn0039682,12,21
FBgn0020385,28,23
FBgn0011845,0,0
FBti0061784,2,0
FBgn0000036,0,0
FBgn0038530,2,0
FBgn0037689,0,0
FBgn0038313,1,9
FBgn0267649,0,0
FBgn0267680,0,0
FBgn0039104,0,0
FBgn0267108,0,0
FBgn0038914,0,0
FBgn0260745,888,665
FBgn0038828,4,0
FBgn0038414,2,9
FBgn0278597,0,0
FBgn0267682,0,0
FBgn0266382,0,0
FBgn0037773,7,7
FBti0019468,1,17
FBgn0038642,0,0
FBgn0083950,0,1
FBti0020328,0,0
FBgn0000247,399,410
FBti0019429,0,4
FBti0064286,0,0
FBgn0028374,0,0
FBgn0051242,0,0
FBgn0267926,0,0
FBgn0004577,0,0
FBgn0266408,0,1
FBgn0003510,0,0
FBgn0038619,21,20
FBgn0038976,72,52
FBti0019386,0,0
FBgn0267191,0,0
FBgn0043884,1874,1722
FBgn0262883,0,0
FBgn0012003,0,0
FBgn0262364,3,0
FBgn0038957,8,0
FBgn0267801,0,0
FBgn0038797,0,0
FBti0062168,0,0
FBgn0038247,0,0
FBti0062496,0,0
FBgn0284419,0,0
FBgn0037213,48,56
FBgn0286041,0,0
FBgn0038827,58,76
FBgn0243512,311,229
FBgn0085320,0,0
FBgn0011273,0,0
FBgn0020626,254,236
FBgn0054027,0,0
FBgn0038108,842,827
RR48372_transposable_element,0,0
FBgn0266418,75,52
FBti0061689,0,0
FBgn0039315,0,0
FBgn0267385,897,953
FBgn0037443,218,189
FBgn0038747,311,295
FBgn0012002,0,0
FBgn0039638,94,110
FBgn0004901,87,126
FBgn0051054,0,0
FBtr0309664_df_nrg,0,0
FBgn0038376,284,313
FBgn0267194,0,0
FBgn0038380,0,0
FBgn0039705,160,191
FBtr0472729_df_nrg,0,0
FBti0019353,8,5
FBgn0038057,24,28
FBgn0023097,184,182
FBgn0083986,10,11
FBgn0037376,136,143
FBti0061723,0,0
FBgn0037249,1328,1416
FBgn0085306,0,0
FBgn0039531,14,39
FBti0062144,0,0
FBgn0039883,16,22
FBti0062524,0,0
FBgn0054034,2,0
FBgn0051573,0,0
FBti0062367,0,0
FBti0019407,0,4
FBgn0010401,0,0
FBgn0003129,0,0
FBgn0039767,152,210
FBgn0037910,0,0
FBgn0264915,0,0
FBgn0264491,174,162
FBgn0266730,0,0
FBgn0263527,0,0
FBgn0051515,0,0
FBgn0262383,0,0
FBgn0002354,12,10
FBgn0038143,2,0
FBgn0038727,0,2
FBgn0263755,17,33
FBgn0039648,0,0
FBgn0004777,0,0
FBtr0472815_df_nrg,0,0
FBgn0004175,0,0
FBgn0267775,0,0
FBti0020386,0,0
FBgn0001139,548,593
FBgn0265423,0,0
FBti0019300,0,0
FBti0060979,0,0
FBgn0041710,464,665
FBgn0267314,0,0
FBgn0045862,162,160
FBti0062601,0,0
FBgn0039064,7,1
FBgn0038638,100,89
FBgn0051331,0,0
FBgn0085382,0,0
FBti0061579,0,0
FBgn0039048,2,0
FBgn0005632,1279,1140
FBgn0039592,0,0
FBtr0304253_df_nrg,0,0
FBgn0051334,0,0
FBgn0037439,128,117
FBgn0051081,0,0
FBgn0085413,0,2
FBgn0267153,0,0
FBgn0039491,0,0
FBti0061792,0,0
FBgn0039413,0,0
FBgn0087013,1348,1462
FBgn0265083,0,0
FBgn0039779,0,0
FBgn0039509,67,64
FBgn0283554,0,0
FBgn0051021,0,0
FBgn0039050,0,0
FBgn0014342,25,42
FBgn0267777,0,1
FBgn0262323,0,0
FBgn0038607,3,0
FBgn0023178,0,0
FBtr0472809_df_nrg,0,0
FBgn0267675,0,0
FBti0059752,0,0
FBgn0051161,0,5
FBgn0037489,74,112
FBgn0266242,0,0
FBgn0037624,3,9
FBgn0261844,0,0
FBgn0039835,10,30
FBgn0262233,0,0
FBgn0259227,502,467
FBgn0051361,143,231
FBgn0037650,0,0
FBgn0037722,24,40
FBgn0038865,48,22
FBgn0039854,1,3
FBgn0266413,0,0
FBti0062468,0,0
FBti0062160,0,0
FBgn0261575,0,0
FBgn0261006,0,0
FBgn0267111,0,0
FBgn0262028,13,10
FBgn0039861,31,35
FBgn0038460,4,0
FBti0020349,0,0
FBgn0026562,9682,2001
FBgn0261840,0,0
FBgn0001230,28,34
FBgn0041711,0,0
FBgn0039190,0,0
FBgn0010438,18,23
RR48405_transposable_element,0,2
FBgn0039161,0,0
FBgn0051282,0,0
FBgn0260466,0,0
FBgn0267339,32,22
FBgn0015279,322,424
FBgn0038149,86,202
FBgn0259194,0,0
FBgn0039233,26,30
FBgn0000015,0,1
FBgn0039622,12,7
FBgn0262174,0,0
FBgn0039093,0,0
FBgn0261550,1688,1334
FBgn0037972,0,0
FBgn0051055,0,0
FBgn0262539,2,1
FBti0062489,0,0
FBgn0259991,0,0
FBgn0037382,56,88
FBgn0037573,101,156
FBti0019414,0,0
FBgn0038886,2,0
FBgn0037601,0,0
FBgn0038142,0,2
FBgn0051570,0,0
FBgn0016691,246,308
FBgn0051191,0,0
FBgn0264740,0,0
FBgn0267210,0,1
FBti0020316,0,0
FBti0019313,0,0
FBgn0038343,2,0
FBgn0264694,120,130
FBgn0261842,0,0
FBgn0263343,0,0
FBti0061515,0,0
FBgn0053325,0,0
FBgn0083985,2,4
FBgn0265318,1,2
FBgn0051471,0,0
FBtr0304500_df_nrg,0,0
FBgn0287601,0,0
FBgn0039023,14,4
FBgn0260399,40,78
FBgn0267131,0,0
FBti0062757,0,0
FBti0020368,0,0
FBgn0263979,302,338
FBgn0000140,128,156
FBgn0038037,82,44
FBgn0039554,80,114
FBgn0038071,2,2
FBgn0027539,68,64
FBgn0051221,0,0
FBgn0002921,1742,2203
FBgn0260969,0,0
FBgn0267764,2,0
FBti0019445,0,3
FBgn0038209,0,0
FBgn0267112,0,0
FBgn0037217,9,8
FBgn0039711,54,64
FBti0020325,0,0
FBgn0001215,895,799
FBgn0265351,19,34
FBgn0038268,32,26
FBgn0039071,0,2
FBtr0304229_df_nrg,0,0
FBgn0039086,0,0
FBgn0037698,4,0
FBgn0039299,0,0
FBgn0027608,0,2
FBgn0002592,0,2
FBgn0046689,0,0
FBgn0025808,16,20
FBgn0038981,116,152
FBgn0063298,0,0
FBgn0039338,324,415
FBgn0038134,0,0
FBgn0285955,649,675
FBti0019335,0,0
FBgn0266238,0,0
FBgn0040679,0,0
FBgn0042102,2,0
FBgn0261995,92,106
FBgn0004779,0,0
FBgn0038716,0,0
FBgn0263460,0,0
FBgn0039538,10,13
FBti0063783,0,0
FBgn0039360,48,54
FBgn0026314,0,2
FBgn0264902,0,2
FBgn0020546,0,0
FBgn0038092,2,0
FBgn0011474,132,118
FBgn0261649,6,6
FBgn0037537,71,92
FBgn0038975,2,2
FBgn0266253,0,0
FBti0059740,0,2
FBgn0039163,59,57
FBgn0003257,117,108
FBgn0266404,0,0
FBgn0038280,0,0
FBgn0027544,0,0
FBgn0083048,2,1
FBgn0263390,0,0
FBti0061904,0,0
FBgn0038337,2,0
FBgn0284234,0,0
FBtr0304222_df_nrg,0,0
FBgn0061476,52,66
FBgn0267233,0,0
FBgn0038330,35,33
FBgn0037284,0,0
FBgn0267443,2,2
FBgn0267781,0,0
FBgn0260463,2,0
FBgn0039396,0,0
FBgn0051523,655,387
FBgn0038931,0,0
FBgn0044826,362,359
FBti0062074,0,0
FBgn0037981,18,24
FBgn0037433,2,0
FBgn0085324,0,0
FBgn0267676,0,0
FBti0019366,0,1
FBgn0037224,0,0
FBgn0267681,0,0
FBgn0003450,0,0
FBgn0039562,2155,3316
FBgn0043069,0,0
FBgn0040259,257,260
FBgn0266739,0,0
FBgn0039836,10,6
FBgn0051189,0,0
FBgn0019624,335,374
FBgn0038849,0,0
FBgn0038731,0,0
FBti0061867,0,0
